"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
89,"NCT04340232","Safety and Efficacy of Baricitinib for COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Baricitinib","Phase 2: Cumulative incidence of Grade 3 and 4 adverse events (AEs)|Phase 2: Cumulative incidence of serious adverse events (SAEs)|Phase 2: Changes in white blood cell count (CBC) through Day 15|Phase 2: Changes in hemoglobin through Day 15|Phase 2: Changes in platelets through Day 15|Phase 2: Changes in creatinine through Day 15|Phase 2: Changes in glucose through Day 15|Phase 2: Changes in prothrombin time (PT) through Day 15|Phase 2: Changes in total bilirubin through Day 15|Phase 2: Changes in ALT through Day 15|Phase 2: Changes in AST through Day 15|Phase 2: Changes in white blood cell count (CBC) through End of Study (EOS)|Phase 2: Changes in hemoglobin through End of Study (EOS)|Phase 2: Changes in platelets through End of Study (EOS)|Phase 2: Changes in creatinine through End of Study (EOS)|Phase 2: Changes in glucose through End of Study (EOS)|Phase 2: Changes in prothrombin time (PT) though End of Study (EOS)|Phase 2: Changes in total bilirubin through End of Study (EOS)|Phase 2: Changes in ALT through End of Study (EOS)|Phase 2: Changes in AST through End of Study (EOS)|Phase 3: Percentage of patients reporting each severity on an 8-point ordinal scale at Day 15|Phase 2: Change in the 8-point ordinal scale|Phase 2: Change in National Early Warning Score (NEWS)|Phase 3: Change in the 8-point ordinal scale|Phase 3: Change in National Early Warning Score (NEWS)|Phase 3: Time to an improvement of one category using the 8-point ordinal scale|Phase 3: Time to an improvement of two categories using the 8-point ordinal scale|Phase 3: Time to discharge or to a NEWS ≤2 and maintained for 24 hours, whichever occurs first|Phase 3: Cumulative incidence of Grade 3 and 4 adverse events (AEs)|Phase 3: Cumulative incidence of serious adverse events (SAEs)|Phase 3: Duration of hospitalization|Phase 3: Duration of new oxygen use|Phase 3: Duration of new ventilator or ECMO use|Phase 3: Incidence of discontinuation or temporary suspension of drug for any reason|Phase 3: Incidence of new oxygen use|Phase 3: Incidence of new ventilator use|Phase 3: Number of oxygen free days|Phase 3: Number of ventilator or ECMO free days|Phase 3: 14 day mortality rate|Phase 3: 28 day mortality rate|Phase 3: Changes in white blood cell count (CBC) through Day 15|Phase 3: Changes in hemoglobin through Day 15|Phase 3: Changes in platelets through Day 15|Phase 3: Changes in creatinine through Day 15|Phase 3: Changes in glucose through Day 15|Phase 3: Changes in prothrombin time (PT) through Day 15|Phase 3: Changes in total bilirubin through Day 15|Phase 3: Changes in ALT through Day 15|Phase 3: Changes in AST through Day 15|Phase 3: Changes in white blood cell count (CBC) through End of Study (EOS)|Phase 3: Changes in hemoglobin through End of Study (EOS)|Phase 3: Changes in platelets through End of Study (EOS)|Phase 3: Changes in creatinine through End of Study (EOS)|Phase 3: Changes in glucose through End of Study (EOS)|Phase 3: Changes in prothrombin time (PT) though End of Study (EOS)|Phase 3: Changes in total bilirubin through End of Study (EOS)|Phase 3: Changes in ALT through End of Study (EOS)|Phase 3: Changes in AST through End of Study (EOS)","University of Colorado, Denver","All","18 Years to 89 Years   (Adult, Older Adult)","Phase 2|Phase 3","80","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-0738","November 2020","August 2021","October 2021","April 9, 2020",,"August 25, 2020","University of Colorado, Denver, Aurora, Colorado, United States",,"https://ClinicalTrials.gov/show/NCT04340232"
90,"NCT04391712","Photobiomodulation Laser Therapy for COVID-19 Positive Patients With Pulmonary Disease",,"Completed","No Results Available","COVID-19","Device: MLS Laser|Other: Regular Inpatient Medical Care","Patient Disposition Post treatment|oxygenation|IL-6 levels|Chest Xray radiographic results|Brescia-COVID Respiratory Severity Scale|SMART-COP Score|PSI Score|CRP levels","Lowell General Hospital","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2","10","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020.01","April 30, 2020","May 15, 2020","July 16, 2020","May 18, 2020",,"August 5, 2020","Lowell General Hospital, Lowell, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04391712"
91,"NCT04353206","Convalescent Plasma in ICU Patients With COVID-19-induced Respiratory Failure",,"Recruiting","No Results Available","Covid-19|Sars-CoV2","Biological: Multiple Doses of Anti-SARS-CoV-2 convalescent plasma","Proportion of subjects who consent to the study and receive at least one dose of convalescent plasma.|Overall survival of patients in the ICU receiving at least once dose of convalescent plasma for Covid-19-induced respiratory failure.","Noah Merin|Johns Hopkins University|Cedars-Sinai Medical Center","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Acute Care CP Consortium Trial","June 27, 2020","May 2021","May 2021","April 20, 2020",,"July 15, 2020","8700 Beverly Blvd., Los Angeles, California, United States|Johns Hopkins University, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04353206"
92,"NCT04459520","Effect of Availability of COVID-19 Testing on Choice to Isolate and Socially Distance",,"Completed","No Results Available","COVID-19","Behavioral: Positive COVID Test Result - Hypothetical Scenario|Behavioral: Negative COVID Test Result - Hypothetical Scenario|Behavioral: Unavailable COVID Test Result - Hypothetical Scenario","Behavioral Intentions|Personal Decisions Subscale|Social Expectations Subscale|Voting Behavior Question|Protest Question|Transportation","University of California, Los Angeles","All","18 Years to 110 Years   (Adult, Older Adult)","Not Applicable","1400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening","IRB#20-000980","July 23, 2020","July 28, 2020","July 29, 2020","July 7, 2020",,"August 20, 2020","UCLA Health Department of Medicine, Quality Office, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04459520"
93,"NCT04341935","Effects of DPP4 Inhibition on COVID-19",,"Not yet recruiting","No Results Available","Coronavirus Infection|Type 2 Diabetes","Drug: Linagliptin|Drug: Insulin regimen","Changes in Glucose Llevels|Changes in SpO2 levels|Changes in Interleukin 6 (IL6)|Changes in chest structures","University of Miami","All","18 Years and older   (Adult, Older Adult)","Phase 4","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20200384","January 30, 2021","June 30, 2021","December 30, 2021","April 10, 2020",,"October 8, 2020","University of Miami, Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04341935"
94,"NCT04389294","HSS Covid-19 Antibody Serology Among Surgeons & Anesthesiologists",,"Recruiting","No Results Available","COVID","Diagnostic Test: SARS-CoV2 serum antibody testing","Correlation between serology testing and clinical suspicion of COVID-19|Prevalence of SARS-CoV2 exposure|Correlation of pre-existing risk factors with results of serology testing|Number of asymptomatic participants with positive antibody serology|Proportion of antibody- positive participants who subsequently develop COVID-19|Proportion of participants who are eligible for in plasma donation","Hospital for Special Surgery, New York","All","21 Years and older   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","2020-0850","May 5, 2020","September 30, 2020","October 30, 2020","May 15, 2020",,"May 15, 2020","Hospital for Special Surgery, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04389294"
95,"NCT04425720","Use of Remote Monitoring for COVID-19 Patient","RPM","Not yet recruiting","No Results Available","COVID","Device: LifeSignals Biosensor 1AX*|Other: Standard of Care","Monitored versus Non-Monitored in-patient admission|Emergency Department Visits|Length of stay|patient satisfaction|the incidence of mechanical ventilation and ECMO|serious adverse events","Montefiore Medical Center","All","18 Years to 90 Years   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","2020-11824","August 31, 2020","June 1, 2021","June 1, 2021","June 11, 2020",,"August 31, 2020","Montefiore Medical Center, Bronx, New York, United States",,"https://ClinicalTrials.gov/show/NCT04425720"
96,"NCT04476953","COVID-FISETIN: Pilot in Covid-19 of Fisetin to Alleviate Dysfunction and Inflammation",,"Enrolling by invitation","No Results Available","COVID-19","Drug: Placebo|Drug: Fisetin","Serious Adverse Events|Change in oxygenation status|COVID-19 Severity Category","Mayo Clinic","All","18 Years and older   (Adult, Older Adult)","Phase 2","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","20-003936","August 3, 2020","July 2021","July 2021","July 20, 2020",,"August 13, 2020","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04476953"
97,"NCT04344015","COVID-19 Plasma Collection",,"Recruiting","No Results Available","COVID-19","Other: Plasma Donation","Number of patients who screen eligible for donation|Number of patients who consent to plasma donation|Number of plasma donations received|Safety of donation procedures","Thomas Jefferson University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","2000","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","20D.346","April 13, 2020","April 12, 2021","April 12, 2021","April 14, 2020",,"May 11, 2020","Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04344015"
98,"NCT04570449","Pilot Randomized Controlled Trial: Fluoxetine to Reduce Hospitalization From COVID-19 Infection (FloR COVID-19)",,"Not yet recruiting","No Results Available","Covid19","Drug: Fluoxetine|Drug: Placebo","Rate of hospitalization|Physical symptoms assessed through daily checklist|Rate of intubation|Rate of death|Depressive symptoms assessed weekly|Post traumatic stress disorder symptoms assessed weekly|Anxiety symptoms assessed weekly|Suicidality assessed daily","Milton S. Hershey Medical Center","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","00015598","September 2020","September 2021","October 2021","September 30, 2020",,"September 30, 2020","Milton S. Hershey Medical Center Clinical Research Center, Hershey, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04570449"
99,"NCT04361838","The COVID-19 ICU PRAYER Study",,"Recruiting","No Results Available","Coronavirus Infection","Behavioral: prayer","Impact of multi-denominational prayer on clinical outcomes of critically ill COVID-19 patients in the Intensive Care Unit on mortality.|Difference in patient outcomes - Acute Physiology and Chronic Health Enquiry. APACHE II score.|Difference in patient outcomes - Sequential Organ Failure Assessment - SOFA Score|Difference in patient outcomes - Length of stay in ICU.|Difference in patient outcomes - Length of ventilator support|Difference in patient outcomes - length of vasopressor support","Kansas City Heart Rhythm Institute","All","18 Years to 110 Years   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Supportive Care","Covid Prayer Study","June 1, 2020","August 31, 2020","August 31, 2020","April 24, 2020",,"June 4, 2020","Research Medical Center, Kansas City, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04361838"
100,"NCT04408040","Use of Convalescent Plasma for COVID-19",,"Recruiting","No Results Available","COVID","Biological: Convalescent Plasma","Arms 1 & 2: number of critical and severe COVID-19 infected patients who are transfused with convalescent plasma result in lower death rates than the reported fatality rate|Arms 1 & 2: number of critical and severe COVID-19 infected patients who survive the infection|Arm 3: number of high risk COVID-19 infected patients who are transfused with convalescent plasma result in lower incidence of progression to severe or critical disease than the reported case rate|Arm 4: number of health care providers who are at risk to exposure to COVID-19 who are transfused with convalescent plasma result in lower incidence of developing COVID-19 infection than the reported case rate","Northside Hospital, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","700","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NSH 1281","July 14, 2020","July 31, 2022","July 31, 2022","May 29, 2020",,"July 28, 2020","Northside Hospital, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT04408040"
101,"NCT04400890","Randomized Proof-of-Concept Trial to Evaluate the Safety and Explore the Effectiveness of a Plant Polyphenol for COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Plant Polyphenol|Dietary Supplement: Vitamin D3","Hospitalization rates for COVID-19|ICU Admission Rates|Invasive Ventilation Rates","Marvin McCreary, MD|Mount Carmel Health System","All","45 Years and older   (Adult, Older Adult)","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","McCreary2020","September 12, 2020","November 2020","January 2021","May 26, 2020",,"September 24, 2020","Mt Carmel HealthSystems, Columbus, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04400890"
102,"NCT03376854","Pilot RCT of Therapeutic Hypothermia Plus Neuromuscular Blockade in COVID-19 Patients With ARDS","CHILL-pilot","Recruiting","No Results Available","Respiratory Distress Syndrome, Adult|Sars-CoV2","Device: Hypothermia|Drug: Neuromuscular Blocking Agents|Device: Standard of Care","Targeted temperature compliance|Adverse event|28-day ICU-free days|Survival|non neurologic Sequential Organ Failure (SOFA) scores|Oxygen saturation (SpO2)|Plateau airway pressure|Mean airway pressure|Airway driving pressure|Oxygen saturation index|Core temperature|Urine output|comprehensive metabolic panel|Complete blood count with differential count and platelet count|Biomarkers|Serum electrolytes|Blood glucose|28-day ventilator-free days","University of Maryland, Baltimore","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HP-00078506","May 1, 2018","November 30, 2020","December 31, 2020","December 19, 2017",,"June 16, 2020","University of Maryland Medical Center, Baltimore, Maryland, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03376854/ICF_011.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03376854/SAP_012.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03376854/Prot_013.pdf","https://ClinicalTrials.gov/show/NCT03376854"
